Handle,Gender,Progressivism_Score,Num_Friends,Adj_Prog_Score
Stella_Theo39,0,,,
prince_cubilla,,,,
U20something,,,,
2PercentHarris,,,,
aurorahodges19,0,,,
AndreaHsueh,0,,,
SHALOMKPEDZROK6,,,,
MackenzieKotek,0,,,
_WinnieMphake,0,,,
WahuMungai,,,,
pie_posie,,,,
fearless_girly,0,,,
modernbelle,0,,,
misantanaa_,,,,
vadivuofficial,,,,
ChirantanBisws,,,,
PreppyGyrl,,,,
emmastone5151,0,,,
Aliciakibler3,,,,
taiyaba_farooq,,,,
marcil_gamil,,,,
RedHeadedPatti,,,,
talitha_roberts,0,,,
paraswadhwa20,,,,
gotrcharlotte,,,,
lance_print,,,,
Workin4Good,,,,
MissGEE33002599,,,,
starzsykes,,,,
teamSLBPR,,,,
LaurenAJMommy16,0,,,
FranMics,,,,
IdInnocent10,,,,
ReddsGurl1020,,,,
Prabu175,,,,
gigicastello,0,,,
tamzin_lynch,,,,
realmayaglavin,0,,,
rebeccaalgieri,0,,,
NoluthandoMngu7,,,,
h78309646,,,,
Tieger_26,,,,
hattieoliverr_,,,,
katynmolly,0,,,
faceinwv,,,,
thisisJessyy,0,,,
GOTRmke,,,,
meraz_life2018,,,,
KCapuzzo,,,,
MsPersia69,,,,
lisa_windy,0,,,
WordPre80973382,,,,
lilmom1977,0,,,
NSRefiloe,,,,
Eman65983569,,,,
nishadkhann2,,,,
Thomas_SmithX,,,,
HussainTopu8347,,,,
RichonneFan20,,,,
GOTRNYC,,,,
Divyaagg24,,,,
ABCdives,,,,
RatedR2012,,,,
Susan75274509,0,,,
mnewmanphotos,,,,
c_janesca,0,,,
themjordan78,,,,
Sophie_Rowland,0,,,
scaniav8r1000s5,,,,
fercho286,,,,
PKBGirlsTour,,,,
SweetMedia7,,,,
LuanSabino14,,,,
Shabba_pido,,,,
RiseUpCoach,,,,
mrslaiso,,,,
GOTRMS,,,,
TimalsinaVinita,,,,
CJoaner,,,,
dangerladygirly,,,,
hemantzx,,,,
Boggile,,,,
lulujiaV5,,,,
IfunPieta,,,,
alyssa_cote,,,,
lizzyfinnland,,,,
sagrace23,,,,
BuildAfrica,,,,
jsjsjdjjsjj,,,,
AbisReds,,,,
diaper_philly,,,,
Chris75704883,,,,
mineamoore,,,,
mr_aboudi_0,,,,
taliamarfanpage,,,,
warbondgirl,,,,
ninaraspa,,,,
maczurray,,,,
Niharik41923580,,,,
connormccann50,,,,
AngeloTG16,,,,
Lilsissytammy,,,,
EvaWeEqual,,,,
ms_sylwia,,,,
BKR1202,,,,
martineeeelly00,,,,
maribelpoyato,,,,
MykidsMylife72,,,,
GirlsUnite04,,,,
YunginJulusta,,,,
Deekachy_md,,,,
LeoOoOoeLs,,,,
Vekyflowers,,,,
mariobonino_10,,,,
tyc_Lydia,,,,
MiasBeautyRoom1,,,,
MCUIM,,,,
gogopapast43,,,,
daniellapbtw,,,,
Vivifromdabloq,,,,
SoccerGirlGear,,,,
SurjyasnataNay2,,,,
rikkle_13,,,,
OttavNicottav,,,,
JenBcute,,,,
Ivory_tree_TS,,,,
Colimozz,,,,
296385114,,,,
Lizmasucci,,,,
MarilynMonROLEX,,,,
JasmarGroup,,,,
Byreeana,,,,
NinaPapatkaRich,,,,
MeganCobian,,,,
rajma420,,,,
muneer_madiha,,,,
AraujoLuciandro,,,,
itsjustjaclynnn,,,,
LouWeezyBama,,,,
bot21092537,,,,
PartnershipComp,,,,
Miss_Pretorius,,,,
padexinc,,,,
juanbendeck999,,,,
MichelleJabeur,,,,
_janahau,,,,
natmalone,,,,
JackHarrisonhi2,,,,
Katiepugh31,,,,
AshlynnRose17,,,,
cuddlefish35,,,,
ShillyMingz,,,,
brookGAO,,,,
SpicyFoods,,,,
Carmen_R_1,,,,
MoraAzulPeru,,,,
lovberlyn,,,,
nonceba_zondi,,,,
Thokozile_Nkabz,,,,
djiksnsnw,,,,
Jesse955z,,,,
ggitarist35,,,,
JuelsMtz,,,,
ayubkhan1029,,,,
TamaraD1818,,,,
USBnTN,,,,
HeyMAAMA_,,,,
legolaslia,,,,
entrefemmenow,,,,
Fannibal1,,,,
Polly070597,,,,
PWTranscripts,,,,
SheStartedIt,,,,
TshidiPearl1,,,,
maisasilva,,,,
