Follower_Handle,Gender,Progressivism_Score,Num_Friends,Prog_Score,Empowerment_Score,Num_Words,Emp_Score,,Average Gender
askpatty,0,4,2000,0.002,,,,,0.160
crystal40605847,0,2,1690,0.001183432,,,,,
vikki62781928,0,-1,90,-0.011111111,,,,,
cmlopez74,0,5,2000,0.0025,,,,,
ellenofficefan,0,1,2000,0.0005,,,,,
laceandsparkls,0,2,821,0.002436054,,,,,
taylernekole,0,7,456,0.015350877,,,,,
eugenieprince,0,0,13,0,,,,,
impavitraselvam,0,3,976,0.00307377,,,,,
mererickvt,0,12,514,0.023346304,,,,,
intensenina85,0,4,22,0.181818182,,,,,
angieharder99,0,0,43,0,,,,,
kkroll2016,0,6,91,0.065934066,,,,,
andreahsueh,0,0,74,0,,,,,
maralaregina,0,6,323,0.018575851,,,,,
laerciogospel,1,,,,,,,,
melissajayne95x,0,8,1294,0.00618238,,,,,
keisha36346,0,0,500,0,,,,,
pamlee_hockly,0,0,834,0,,,,,
gkolansky,1,-2,152,-0.013157895,,,,,
babyyshekk,0,0,424,0,,,,,
laneybucmom,0,2,527,0.003795066,,,,,
rivenbark_kelly,0,1,505,0.001980198,,,,,
marks_shaun00,1,5,1067,0.004686036,,,,,
portiamashweu,0,2,311,0.006430868,,,,,
nelly_iovcheva,0,0,70,0,,,,,
alphafemale1,0,7,35,0.2,,,,,
missdesi88,0,0,27,0,,,,,
wisconsinmommy,0,0,2000,0,,,,,
zylvhano,1,,,,,,,,
jaxon_casey,0,,,,,,,,
probabysolution,0,,,,,,,,
ivierosalyn_17,0,,,,,,,,
natashavbrown,0,,,,,,,,
isa1directi0n,1,,,,,,,,
jacquel38411638,0,,,,,,,,
jassminetteune,0,,,,,,,,
mubarak_alamgir,1,,,,,,,,
nelisiwe_mafu,0,,,,,,,,
shirley90398699,0,,,,,,,,
scuzzortege,1,,,,,,,,
berkelybased,0,,,,,,,,
charliemerritt,1,,,,,,,,
brenda67611119,0,,,,,,,,
thechocdiva,0,,,,,,,,
igiftedplanet,0,,,,,,,,
dukemanesm,0,,,,,,,,
kikkoryan84,0,,,,,,,,
stephmiller09,0,,,,,,,,
shereeangel7,0,,,,,,,,
lovingyou1981,0,,,,,,,,
twittahfeed,1,,,,,,,,
carissa_tardiff,0,,,,,,,,
erikalvarez,0,,,,,,,,
tedrashelby,0,,,,,,,,
cerenitywilson1,0,,,,,,,,
lisamar22549945,,,,,,,,,
jeskaturner,,,,,,,,,
mediadivasng,,,,,,,,,
alishaflakelar,0,,,,,,,,
acebankzzz,1,,,,,,,,
abdulwa43971334,,,,,,,,,
divadawnotto,,,,,,,,,
smashmouth,,,,,,,,,
kistnercindy,0,,,,,,,,
psychichealerc,,,,,,,,,
yazmin36159207,0,,,,,,,,
bellasixx_79,0,,,,,,,,
leads2fullcycle,,,,,,,,,
salomexandra,,,,,,,,,
ms_queenlizzy,,,,,,,,,
stephsday,,,,,,,,,
gaillanette,,,,,,,,,
mrslgigante,,,,,,,,,
lplebeyacotilla,,,,,,,,,
mostafa_e7,,,,,,,,,
freefrommom,,,,,,,,,
dawnjwv,,,,,,,,,
gracesugar2,0,,,,,,,,
adoptee1967,,,,,,,,,
dreamwalls,,,,,,,,,
kev6853,,,,,,,,,
socialtravelex,,,,,,,,,
traceybusch,0,,,,,,,,
abbasovarahile,,,,,,,,,
carissablackma7,0,,,,,,,,
melissap1986,0,,,,,,,,
iyaridm,,,,,,,,,
jays35830178,,,,,,,,,
princessjanai20,0,,,,,,,,
patrici36595711,0,,,,,,,,
erikame2246,0,,,,,,,,
mdandy83gmailc2,,,,,,,,,
eliza_curley,0,,,,,,,,
mideokuyiga,,,,,,,,,
immmagdaong,,,,,,,,,
kermi16,,,,,,,,,
mavimsin_mavi,,,,,,,,,
mathdelasnerie,0,,,,,,,,
oanaronci04,,,,,,,,,
eattherude17,,,,,,,,,
samantha_j3an,0,,,,,,,,
georgiafans2,,,,,,,,,
robin_vierra,0,,,,,,,,
thetamaragarcia,,,,,,,,,
kelincimaduoff1,,,,,,,,,
newgolgotha,,,,,,,,,
ladyzee92603462,,,,,,,,,
rukiyayeasmin,,,,,,,,,
sapco78,,,,,,,,,
beans91186,,,,,,,,,
lightofsteorra,,,,,,,,,
carotje7,,,,,,,,,
titju59,,,,,,,,,
amberbrennand,0,,,,,,,,
izzylouisexox24,0,,,,,,,,
aratiqullah,,,,,,,,,
kolasatya1438,,,,,,,,,
