Follower_Handle,Gender,Progressivism_Score,Num_Friends,Prog_Score,Empowerment_Score,Num_Words,Emp_Score
mainman772,1,0,19,0,7,892,0.007847534
alex386xd,1,0,46,0,0,618,0
dacksanborn,1,0,779,0,77,21452,0.003589409
abmurray7,0,-7,332,-0.021084337,0,9,0
christo54106808,1,0,108,0,0,0,0
jeannefay17,0,0,28,0,0,0,0
marikdickson,1,-1,82,-0.012195122,0,0,0
steve1660,1,0,100,0,6,683,0.008784773
shanenudd,1,0,498,0,-5,8064,-0.00062004
myeka_johnson,0,4,2000,0.002,427,35929,0.01188455
bryceortiz3,1,1,123,0.008130081,-1,283,-0.003533569
pcthegod,1,-2,470,-0.004255319,-165,15055,-0.010959814
jarrardsublett,1,-9,2000,-0.0045,10,1180,0.008474576
deauxb,1,-24,1278,-0.018779343,50,10731,0.004659398
hnbxx3,0,1,598,0.001672241,28,30281,0.000924672
superboredfin23,1,0,57,0,0,13,0
emilynbanks,0,1,667,0.00149925,138,26533,0.00520107
patti59924595,0,-1,109,-0.009174312,6,804,0.007462687
johnstyyy,1,0,119,0,-52,6927,-0.007506857
steph_baiden,0,1,283,0.003533569,-1,5997,-0.00016675
longpal3,1,1,15,0.066666667,0,0,0
takosupremee,0,0,207,0,-6,240,-0.025
fief_lord,1,-1,100,-0.01,4,870,0.004597701
cassieerinj,0,0,21,0,0,0,0
golfcam205,1,-1,525,-0.001904762,2,364,0.005494505
jw_bowden,1,0,186,0,-11,309,-0.035598706
kerschp13,1,4,244,0.016393443,5,434,0.011520737
thebo55ness,1,0,27,0,2,211,0.009478673
that_chubbydude,1,-1,671,-0.001490313,-192,23473,-0.008179611
agustina_fdb,0,0,1113,0,16,19989,0.00080044
zachbell02,1,-1,49,-0.020408163,0,84,0
charlesmarcelj1,1,2,43,0.046511628,0,0,0
kobroch,1,0,62,0,0,51,0
timothy_gramm,1,0,21,0,0,0,0
coltbrave89,1,-1,156,-0.006410256,-1,1186,-0.00084317
jb3rg3r,1,0,162,0,-5,739,-0.0067659
bradley_jackss,1,0,35,0,0,0,0
24watermalone,1,-8,466,-0.017167382,71,23286,0.003049042
briepinnix,0,0,323,0,27,16442,0.001642136
eric_johnson_22,1,2,53,0.037735849,0,0,0
jimgooch41,1,0,18,0,0,0,0
jake_kauf,1,0,292,0,8,947,0.00844773
mariahhilliard3,0,0,19,0,0,0,0
jmalx27,1,0,598,0,13,10607,0.001225606
prosper06449758,1,5,108,0.046296296,0,0,0
zoecyrluk,0,1,101,0.00990099,-2,406,-0.004926108
gimplejosh,1,1,1201,0.000832639,53,6932,0.007645701
manocatano,1,3,2000,0.0015,7,4385,0.001596351
catharticcurios,1,0,47,0,0,28,0
savhn2,0,0,160,0,7,800,0.00875
